#Bulk Export - Points as recorded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grade Codes: -3 GAP,-2 Unusable, -1 Unspecified,0 Undefined,1 Unverified,4 Partial,5 Est. No Confidence,10 Est. Poor,11 Poor,20 Est. Fair,21 Fair,30 Est. Good,31 Good,40 Est. Very Good,41 Very Good,50 Est. Excellent,51 Excellent,1000 USGS data,2000 FDEP data,3000 LEGACY

Interpolation Types: 1 Instantaneous Values, 2 Preceding Constant, 5 Preceding Totals, 6 Instantaneous Totals, 7 Discrete Values, 8 Succeeding Constant
,AMES SINK/S555,,MUNSON SLOUGH @ CAPITAL CIRCLE,,FORDS ARM TRIB@MERD,,ALFORD ARM TRIB@BUCK,,CENTRAL D.D.@ORANGE,,WEST DRAINAGE DITCH @ ROBERTS AVE,,LAKE KANTURK OUTFALL,,LAKE LAFAYETTE OUTFALL,,NE D.D.@MAHAN DR,,PARK AV D.D.@ VIOLET - S100,,LAKE JACKSON FACILITY AKA 64/606,,NE Drainage Ditch @ Centerville and Blairstone,,Central Drainage Ditch @ Lake Bradford Road,,Boone Blvd Holding pond (City ID# 700),,St. Marks River @ San Marcos de Apalachee S.P.,,Still Creek at Capitola Rd,,Lake Iamonia Outfall @ Meridian Rd,,LEON HIGH SCHOOL STORMWATER INLET,,LAKE BRADFORD,,ST. MARKS RIVER @ TRAM RD,,LAKE KINSALE OUTFALL,,LAKE MUNSON OUTFALL,,MUNSON SLOUGH @ OAKRIDGE ROAD,,BLACK CREEK @ CR 267,,LOST CREEK @ ARRAN RD (CR 368),,BRADFORD BROOK @ AENON CHURCH ROAD,,WEST DRAINAGE DITCH @ US 90,,ALFORD ARM TRIB@MICC,,EAST D.D.@ADAMS ST,,QUINCY CREEK@SR 267,,FISHER CREEK @ SPRINGHILL RD.,,WAKULLA RIVER AT BOAT TRAM,,"John Knox Pond, Megginnis Tributary",,LAKE JACKSON FACILITY AKA 64/606,,Lake Jackson - Miller Landing Road,,NE Drainage Ditch @ Centerville and Blairstone,,Lauder Pond near Thomasville/Bannerman Rd,,Regional Stormwater Facility - City of Tallahassee,,Southwood SW Pond SB111B,,Southwood SW Pond WD005,,Lake Miccosukee @ US90 Outfall,,LAKE IAMONIA EAST,,LAKE KILLARNY AT MCLAUGHLIN DRIVE,,LAKE KANTURK AT CLIFDEN DR,,INDIAN SPRING RUN AT SR61,,ST. MARKS RIVER - UPPER DISCHARGE BEFORE SWALLET,
,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code
Timestamp (UTC),Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),
8/14/2014 0:00,8.062958287,41,26.44533329,41,101.0982467,41,44.29768398,41,30.80801053,41,37.82264116,41,73.50975903,2,42.12168051,41,46.75443389,41,60.52659018,41,96.29354861,41,63.90259884,41,46.41617014,1,139.3427065,31,0.2784375,51,50.39065978,41,97.5642559,41,104.4209249,41,,,27.45529173,41,73.96682292,41,26.33954187,41,NaN,-2,,,,,38.176375,41,48.55588889,41,56.719125,41,42.68745486,41,128.6578681,41,,,-1.432274306,51,135.8402778,41,96.29354861,41,83.78878025,41,63.90259884,41,159.5518194,41,46.40926042,3000,32.77352431,3000,29.54458333,3000,78.81520833,41,97.3190625,41,72.5503125,41,72.5954409,31,,,,
8/15/2014 0:00,9.150354206,41,26.30512496,41,101.0558862,41,44.29537495,41,30.62101402,41,37.49369287,41,73.50996741,2,42.06553464,41,46.62686447,41,60.34068761,41,96.20035417,41,63.97907091,41,45.89747222,1,139.1141799,31,0.3496875,51,50.39895843,41,97.54120161,41,104.4169324,41,,,27.38874671,41,73.89901042,41,26.32853453,41,NaN,-2,,,,,38.17323264,41,48.527,41,56.71735417,41,42.63070139,41,128.6147083,41,,,-1.437708333,51,135.7118056,41,96.20035417,41,83.75945819,41,63.97907091,41,159.4943194,41,45.89747222,3000,32.68472222,3000,29.54633681,3000,78.79255208,41,97.29557292,41,72.50588542,41,72.54991874,31,,,,
8/16/2014 0:00,8.749069452,41,26.23783302,41,101.0246705,41,44.29099996,41,30.58967721,41,37.40264386,41,73.50986322,2,42.00230582,41,46.5509276,41,60.21120809,41,96.1424375,41,63.90773029,41,45.44926042,1,139.0290908,31,0.340625,51,50.39822907,41,97.51691249,41,104.4178348,41,,,27.31301779,41,73.83302083,41,26.268969,41,NaN,-2,,,,,38.17279861,41,48.527,41,56.71698958,41,42.65936458,41,128.5756458,41,,,-1.444131944,51,135.6070833,41,96.1424375,41,83.73904006,41,63.90773029,41,159.4330347,41,45.45151736,3000,32.71774306,3000,29.54649306,3000,78.766875,41,97.27276042,41,72.45921875,41,72.50054242,31,,,,
8/17/2014 0:00,8.152124961,41,26.18963903,41,101.0243404,41,44.29099996,41,30.56490245,41,37.34897311,41,73.52350897,2,41.93659386,41,46.53497141,41,60.16660695,41,96.12799306,41,63.95904545,41,45.06472917,1,138.9842796,31,0.255625,51,50.4030202,41,97.50738136,41,104.4198823,41,,,27.22671555,41,73.76890625,41,26.22619067,41,NaN,-2,,,,,38.172625,41,48.527,41,56.71726736,41,42.60214236,41,128.5450556,41,,,-1.46453125,51,135.5249306,41,96.12799306,41,83.72747799,41,63.95904545,41,159.457184,41,45.07490278,3000,32.62282986,3000,29.54901042,3000,78.74182292,41,97.26776042,41,72.42135417,41,72.45215569,31,,,,
8/18/2014 0:00,7.934572971,41,26.14814542,41,101.1681421,41,44.29099996,41,30.5669859,41,37.45026753,41,73.51000214,2,41.89346856,41,46.5488264,41,60.16884742,41,96.17097917,41,63.95161096,41,44.78577083,1,138.9533572,31,0.177604167,51,50.39079928,41,97.57007312,41,104.4182514,41,,,27.26633314,41,73.90505208,41,26.20301449,41,NaN,-2,,,,,38.17245139,41,48.527,41,56.71667708,41,42.59582292,41,128.5674861,41,,,-1.480364583,51,135.4916667,41,96.17097917,41,83.78909231,41,63.95161096,41,159.9391285,41,44.79656944,3000,32.53079861,3000,29.54597222,3000,78.77442708,41,97.32640625,41,72.45333333,41,72.4808002,31,,,,
8/19/2014 0:00,7.847767485,41,26.13998633,41,101.1804686,41,44.29139926,41,30.70280183,41,37.50328118,41,73.53604349,2,41.85610832,41,46.75401737,41,60.30613945,41,96.21639583,41,63.99645113,41,44.83863542,1,139.3229209,31,0.241770833,51,50.40960104,41,97.57314604,41,104.6088766,41,,,27.36119459,41,73.95796875,41,26.20106965,41,NaN,-2,,,,,38.18807639,41,48.52679167,41,56.72429861,41,42.70143056,41,128.7394306,41,,,-1.487517361,51,135.54,41,96.21639583,41,83.77810403,41,63.99645113,41,159.9369931,41,44.83038889,3000,32.53921875,3000,29.54732639,3000,78.75973958,41,97.32984375,41,72.43083333,41,72.45944472,31,,,,
8/20/2014 0:00,8.209347205,41,26.69750352,41,101.3254689,41,44.29702426,41,31.22625676,41,37.66549567,41,73.50962011,2,41.90786149,41,48.23497226,41,61.06698956,41,97.18004167,41,65.05266205,41,46.73818403,1,140.5043596,31,0.174635417,51,50.39703156,41,97.58469121,41,104.4339798,41,,,27.67405911,41,74.10041667,41,26.40457668,41,NaN,-2,,,,,38.39019444,41,48.52724306,41,56.72101736,41,42.73321875,41,129.0872431,41,,,-1.504427083,51,137.0578472,41,97.18004167,41,83.77378206,41,65.05266205,41,160.0196146,41,46.73443403,3000,33.64951389,3000,29.54571181,3000,78.75604167,41,97.33635417,41,72.42895833,41,72.45324548,31,,,,
8/21/2014 0:00,10.24467706,41,26.40693066,41,101.1427612,41,44.29099996,41,30.62323619,41,37.34012347,41,73.50993268,2,41.87707979,41,47.06092699,41,60.52999306,41,96.38084028,41,64.07415138,41,46.20419097,1,139.2788539,31,-0.063811171,41,50.40017392,41,97.547328,41,104.4209249,41,,,27.58449289,41,74.09307292,41,26.41396891,41,NaN,-2,,,,,38.18455208,41,48.52505556,41,56.721,41,42.52521528,41,128.8647083,41,,,-1.529670139,51,136.7813889,41,96.38084028,41,83.75331104,41,64.07415138,41,159.9642847,41,46.20927778,3000,34.39901042,3000,29.54975694,3000,78.7303125,41,97.31364583,41,72.39057292,41,72.41439,31,,,,
8/22/2014 0:00,10.23495486,41,26.26455201,41,101.0799136,41,44.29099996,41,30.57047539,41,37.29858858,41,73.50989795,2,41.82254869,41,46.88155211,41,60.51360385,41,96.23104861,41,63.89631762,41,45.87273264,1,139.0593552,31,0.361846394,41,50.39913176,41,97.52571497,41,104.4209593,41,,,27.47345178,41,74.05161458,41,26.32120829,41,NaN,-2,,,,,38.177,41,48.52436111,41,56.721,41,42.46729861,41,128.7659236,41,,,-1.532673611,51,136.5263889,41,96.23104861,41,83.74445606,41,63.89631762,41,159.9041806,41,45.88919097,3000,34.63717014,3000,29.55041667,3000,78.71322917,41,97.28979167,41,72.3446875,41,72.36298243,31,,,,
8/23/2014 0:00,8.711083323,41,26.19986481,41,101.0392191,41,44.29099996,41,30.54832258,41,37.27293814,41,73.50986322,2,41.75916336,41,46.76832257,41,60.40669449,41,96.19153472,41,63.82539308,41,45.55434722,1,139.0041967,31,0.562063712,41,50.39934022,41,97.50135842,41,104.4178174,41,,,27.37421543,41,73.99515625,41,26.25698957,41,NaN,-2,,,,,38.177,41,48.52396181,41,56.71936806,41,42.43314931,41,128.7036319,41,,,-1.521493056,51,136.2998611,41,96.19153472,41,83.72362483,41,63.82539308,41,159.8440764,41,45.57981597,3000,34.48895833,3000,29.54817708,3000,78.68692708,41,97.26588542,41,72.2996875,41,72.31532486,31,,,,
8/24/2014 0:00,8.061256958,41,26.17899669,41,101.0139414,41,44.29099996,41,30.55202043,41,37.18909341,41,73.50941173,2,41.71603781,41,46.73360105,41,60.28844821,41,96.16104861,41,63.8175421,41,45.24844444,1,138.9013298,31,0.620744483,41,50.39953128,41,97.4804003,41,104.4180604,41,,,27.26390257,41,73.93052083,41,26.20683273,41,NaN,-2,,,,,38.177,41,48.52486458,41,56.72061806,41,42.44976389,41,128.6497431,41,,,-1.505954861,51,136.1013889,41,96.16104861,41,83.70289771,41,63.8175421,41,159.8116285,41,45.28377431,3000,34.34222222,3000,29.545,3000,78.65901042,41,97.24348958,41,72.25921875,41,72.26490688,31,,,,
8/25/2014 0:00,7.906552219,41,26.14068053,41,101.0259034,41,44.29099996,41,30.54028448,41,37.12811426,41,73.50923808,2,41.91466682,41,46.70141308,41,60.22724944,41,96.1305625,41,63.82113231,41,45.01948611,1,138.8437061,31,0.391248171,41,50.40376825,41,97.46899703,41,104.4224524,41,,,27.18746168,41,73.914375,41,26.14094763,41,NaN,-2,,,,,38.177,41,48.5254375,41,56.721,41,42.40985069,41,128.6568611,41,,,-1.515138889,51,135.9491667,41,96.1305625,41,83.67737413,41,63.82113231,41,159.8507257,41,45.05502431,3000,34.21359375,3000,29.54163194,3000,78.63729167,41,97.22161458,41,72.22432292,41,72.22636389,31,,,,
8/26/2014 0:00,7.81794094,41,26.09929188,41,100.9911641,41,44.29099996,41,30.51700385,41,37.14900956,41,73.50993268,2,41.89407631,41,46.64380921,41,60.17362185,41,96.09590972,41,63.81598922,41,44.75608333,1,138.7986864,31,0.459824776,41,50.40274339,41,97.43722738,41,104.4358352,41,,,27.07525709,41,73.84104167,41,26.12112222,41,NaN,-2,,,,,38.177,41,48.52575,41,56.721,41,42.40427778,41,128.6266181,41,,,-1.533072917,51,135.8117361,41,96.09590972,41,83.6388857,41,63.81598922,41,159.7843542,41,44.79518056,3000,34.08107639,3000,29.54243056,3000,78.60177083,41,97.19348958,41,72.16989583,41,72.16896674,31,,,,
8/27/2014 0:00,7.793965093,41,26.07793729,41,100.9855558,41,44.29099996,41,30.50158683,41,37.17518304,41,73.50975903,2,41.83987547,41,46.60821835,41,60.15468111,41,96.062125,41,63.82471842,41,44.55738542,1,138.756896,31,0.716578464,41,50.40470557,41,97.40996764,41,104.4267393,41,,,26.99555179,41,73.78776042,41,26.10966362,41,NaN,-2,,,,,38.177,41,48.525125,41,56.721,41,42.407125,41,128.5956458,41,,,-1.49765625,51,135.7147917,41,96.062125,41,83.61352003,41,63.82471842,41,159.721316,41,44.59775,3000,33.96427083,3000,29.54401042,3000,78.5721875,41,97.17416667,41,72.1209375,41,72.11584042,31,,,,
8/28/2014 0:00,7.777993066,41,26.05805857,41,100.9684551,41,44.29218051,41,30.4937047,41,37.10128601,41,73.50916862,2,41.77223616,41,46.5532708,41,60.14572244,41,96.02028472,41,63.8286556,41,44.40860069,1,138.7150361,31,0.983436319,41,50.4070142,41,97.38529911,41,104.4185277,41,,,26.90801739,41,73.71598958,41,26.10028841,41,NaN,-2,,,,,38.177,41,48.52679167,41,56.71981944,41,42.40292361,41,128.5686667,41,,,-1.452708333,51,135.6282639,41,96.02028472,41,83.59102202,41,63.8286556,41,159.6589375,41,44.45775,3000,33.82975694,3000,29.54590278,3000,78.54239583,41,97.14817708,41,72.07307292,41,72.06198494,31,,,,
8/29/2014 0:00,7.765215339,41,26.04698276,41,101.0035067,41,44.29099996,41,30.72929484,41,37.38669603,41,73.50968957,2,41.70787804,41,46.62712488,41,60.27900394,41,96.08445139,41,63.81809643,41,44.67106597,1,139.0925512,31,1.259877507,41,50.40711839,41,97.36500516,41,104.4293962,41,,,26.83367765,41,73.65130208,41,26.10483704,41,NaN,-2,,,,,38.177,41,48.62545486,41,56.72155556,41,42.48023264,41,128.5489444,41,,,-1.40359375,51,135.6512153,41,96.08445139,41,83.57607293,41,63.81809643,41,159.5980521,41,44.69148264,3000,33.68545139,3000,29.54651042,3000,78.51791667,41,97.12567708,41,72.02552083,41,72.00911903,31,,,,
8/30/2014 0:00,7.758062637,41,26.23552429,41,101.0580904,41,44.29099996,41,30.75023264,41,37.62951817,41,73.50996741,2,41.67874638,41,46.77818375,41,60.38103468,41,96.3224375,41,63.77312674,41,46.22660417,1,139.4075664,31,1.081839528,41,50.40868062,41,97.35172155,41,104.4069818,41,,,26.8225839,41,73.59677083,41,26.2618506,41,NaN,-2,,,,,38.177,41,48.53146181,41,56.721,41,42.45271528,41,128.5628333,41,,,-1.396458333,51,135.9546875,41,96.3224375,41,83.58310449,41,63.77312674,41,159.5502222,41,46.25799306,3000,33.54868056,3000,29.54263889,3000,78.52557292,41,97.11380208,41,71.98807292,41,71.96937813,31,,,,
8/31/2014 0:00,7.736361174,41,26.26175712,41,100.9856604,41,44.29099996,41,30.64163893,41,37.33426739,41,73.50993268,2,41.62951045,41,46.6713095,41,60.2331006,41,96.18643056,41,63.73595219,41,45.65146528,1,139.0705329,31,1.16505155,41,50.40953136,41,97.33800609,41,104.4014269,41,,,26.78614211,41,73.52822917,41,26.3479446,41,NaN,-2,,,,,38.177,41,48.527,41,56.721,41,42.40533681,41,128.5478333,41,,,-1.418194444,51,135.8479167,41,96.18643056,41,83.55195928,41,63.73595219,41,159.4903785,41,45.69434722,3000,33.42668403,3000,29.54352431,3000,78.53375,41,97.1,41,71.94427083,41,71.9181789,31,,,,
9/1/2014 0:00,7.713079883,41,26.22663516,41,100.9546356,41,44.29099996,41,30.59516345,41,37.23967675,41,73.50993268,2,41.57112499,41,46.59823576,41,60.23162468,41,96.12834028,41,63.72631346,41,45.09905208,1,138.9780132,31,1.094253155,41,50.40835082,41,97.31536725,41,104.393232,41,,,26.72767042,41,73.46395833,41,26.31391659,41,NaN,-2,,,,,38.177,41,48.527,41,56.72047917,41,42.41844444,41,129.2059583,41,,,-1.45515625,51,135.7470139,41,96.12834028,41,83.52643736,41,63.72631346,41,159.4333819,41,45.15344444,3000,33.30024306,3000,29.54552083,3000,78.51838542,41,97.07927083,41,71.899375,41,71.86812549,31,,,,
9/2/2014 0:00,7.683861295,41,26.20364948,41,100.9452945,41,44.29099996,41,30.5659618,41,37.24545018,41,73.50986322,2,41.50834747,41,46.53530237,41,60.35365625,41,96.0818125,41,63.71202053,41,44.64564931,1,138.9457367,31,0.892308926,41,50.40739589,41,97.2911844,41,104.3853329,41,,,26.65171558,41,73.4015625,41,26.2660696,41,NaN,-2,,,,,38.177,41,48.527,41,56.71978472,41,42.40905208,41,128.7902986,41,,,-1.494184028,51,135.6534028,41,96.0818125,41,83.5074263,41,63.71202053,41,159.3811597,41,44.70479861,3000,33.17208333,3000,29.54711806,3000,78.49130208,41,97.05755208,41,71.85302083,41,71.82150959,31,,,,
9/3/2014 0:00,8.029798665,41,26.54118407,41,100.9625703,41,44.29099996,41,30.92498949,41,37.85138063,41,73.50982849,2,41.83718403,41,46.57851377,41,60.559559,41,96.21229861,41,63.73878789,41,45.76004167,1,139.1676963,31,0.861198031,41,50.2883856,41,97.30302207,41,104.4129376,41,,,26.98244432,41,73.39505208,41,26.43499361,41,NaN,-2,,,,,38.36413542,41,48.59134028,41,56.721,41,42.62117014,41,128.7930417,41,,,-1.51609375,51,135.5905556,41,96.21229861,41,83.57414488,41,63.73878789,41,159.487566,41,45.79995486,3000,34.87142361,3000,29.54244792,3000,78.59348958,41,97.07901042,41,71.84276042,41,71.80822702,31,,,,
9/4/2014 0:00,9.868722241,41,26.44038526,41,100.9485413,41,44.29099997,41,30.63264591,41,37.33661586,41,73.51000214,2,41.91645468,41,46.46302785,41,60.34129502,41,96.1615,41,63.75480879,41,45.45490278,1,138.9619475,31,0.980039586,41,50.40364675,41,97.31628758,41,104.3939093,41,,,27.05518758,41,73.37770833,41,26.44355238,41,NaN,-2,,,,,38.17743403,41,48.527,41,56.721,41,42.47038889,41,128.7362014,41,,,-1.489288194,51,135.5313889,41,96.1615,41,83.56680394,41,63.75480879,41,159.431941,41,45.50559722,3000,35.16258681,3000,29.53817708,3000,78.57822917,41,97.08588542,41,71.81958333,41,71.79182633,31,,,,
9/5/2014 0:00,10.03078822,41,26.33305893,41,100.949878,41,44.291,41,30.57960754,41,37.28883022,41,73.53243245,2,41.90541356,41,46.40287148,41,60.29499311,41,96.11000694,41,63.76164503,41,44.95031944,1,138.8902959,31,0.943177083,41,50.40364636,41,97.30531304,41,104.4033367,41,,,27.08838187,41,73.33197917,41,26.3710552,41,NaN,-2,,,,,38.177,41,48.527,41,56.721,41,42.42893056,41,128.6774514,41,,,-1.477864583,51,135.4810417,41,96.11000694,41,83.6075813,41,63.76164503,41,159.3933646,41,45.00531944,3000,35.07369792,3000,29.53829861,3000,78.55953125,41,97.07166667,41,71.79739583,41,71.7853258,31,,,,
9/6/2014 0:00,8.73998957,41,26.25910059,41,101.0000352,41,44.291,41,30.54346148,41,37.23198314,41,73.51000214,2,41.87548254,41,46.51769768,41,60.27408988,41,96.05906944,41,63.72155405,41,44.54835764,1,138.8591652,31,1.01015625,41,50.38880275,41,97.30409751,41,104.3924173,41,,,27.05209732,41,73.37229167,41,26.29102001,41,NaN,-2,,,,,38.177,41,48.527,41,56.721,41,42.41969444,41,128.7918264,41,,,-1.471944444,51,135.4359028,41,96.05906944,41,83.59513676,41,63.72155405,41,159.3918368,41,44.60146528,3000,34.87442708,3000,29.536875,3000,78.57765625,41,97.06947917,41,71.84447917,41,71.8247775,31,,,,
9/7/2014 0:00,8.01563199,41,26.21793738,41,101.1078993,41,44.291,41,30.53186469,41,37.30249623,41,73.51000214,2,41.84739287,41,46.54688262,41,60.23790902,41,96.08590972,41,63.73771335,41,44.33129167,1,138.8763331,31,1.175598958,41,50.37656291,41,97.30722315,41,104.3889438,41,,,27.1141457,41,73.33098958,41,26.28020379,41,NaN,-2,,,,,38.177,41,48.527,41,56.72096528,41,42.42347917,41,128.9821042,41,,,-1.447690972,51,135.4513889,41,96.08590972,41,83.60445559,41,63.73771335,41,159.3784167,41,44.37948611,3000,34.65428819,3000,29.53756944,3000,78.625,41,97.07234375,41,71.80864583,41,71.79094796,31,,,,
9/8/2014 0:00,8.172159682,41,26.38837154,41,101.2015792,41,44.31129514,41,31.02953826,41,37.34319475,41,73.5584045,2,42.09602108,41,47.03123955,41,61.06749305,41,96.14504167,41,63.75915083,41,44.87946879,1,139.157251,31,1.400911458,41,50.37065973,41,97.37738166,41,104.4213397,41,,,27.3070451,41,73.32052083,41,26.40365802,41,NaN,-2,,,,,38.177,41,48.527,41,56.721,41,42.75648264,41,128.9587014,41,,,-1.383350694,51,135.5658681,41,96.14504167,41,83.60044635,41,63.75915083,41,159.4668368,41,44.92563194,41,35.01107639,41,29.61585069,41,78.67494792,41,97.20859375,41,71.9309375,41,71.91097258,31,,,,
9/9/2014 0:00,9.373774303,41,26.36824996,41,101.0969794,41,44.301,41,30.67358355,41,37.23660744,41,73.51000214,2,42.40838189,41,46.80938189,41,60.68001037,41,96.15490278,41,63.75595298,41,45.03453827,41,139.0413286,31,1.189322917,41,50.28975686,41,97.45472503,41,104.3903663,41,,,27.524302,41,73.27822917,41,26.47169606,41,NaN,-2,,,,,38.17696528,41,48.527,41,56.721,41,42.53762847,41,128.9891181,41,,,-1.351006944,51,135.5736458,41,96.15490278,41,83.58555293,41,63.75595298,41,159.431125,41,45.07358333,41,35.06513889,41,30.15836806,41,78.68932292,41,97.2509375,41,71.94755208,41,71.92386178,31,,,,
9/10/2014 0:00,9.761604182,41,26.24134021,41,101.0636644,41,44.301,41,30.56917332,41,37.22803169,41,73.50996741,2,42.54556916,41,46.67262889,41,60.50586136,41,96.09518056,41,63.69820512,41,44.58899997,41,138.950684,31,1.060260417,41,50.35321157,41,97.44693024,41,104.3926762,41,,,27.4822886,41,73.339375,41,26.39145244,41,NaN,-2,,,,,38.17557639,41,48.527,41,56.71829167,41,42.45236806,41,128.8217222,41,,,-1.383211806,51,135.5297222,41,96.09518056,41,83.57216621,41,63.69820512,41,159.5257431,41,44.62710764,41,34.89510417,41,30.44151042,41,78.67729167,41,97.28432292,41,71.93369792,41,71.90873016,31,,,,
9/11/2014 0:00,8.674312484,41,26.15668719,41,101.0213552,41,44.29961111,41,30.51946893,41,37.32978506,41,73.50996741,2,42.52760021,41,46.57709017,41,60.3561732,41,96.08226389,41,63.69405201,41,44.23788888,41,138.9729213,31,1.084010417,41,50.40454937,41,97.42700015,41,104.3866698,41,,,27.48470185,41,73.301875,41,26.33001135,41,NaN,-2,,,,,38.31693056,41,48.58842361,41,56.71856944,41,42.41018056,41,128.7298125,41,,,-1.394201389,51,135.5195139,41,96.08226389,41,83.55472064,41,63.69405201,41,159.4708299,41,44.27163889,41,34.69729167,41,30.53421875,41,78.65760417,41,97.2678125,41,71.891875,41,71.86854645,31,,,,
9/12/2014 0:00,8.030041688,41,26.11925757,41,101.0619972,41,44.29933333,41,30.49983316,41,37.56721529,41,73.51000214,2,42.49173326,41,46.67486772,41,60.24605173,41,96.29472917,41,63.61986411,41,44.03358309,41,139.3009226,31,0.76140625,41,50.40616369,41,97.41427308,41,104.3888748,41,,,27.46990984,41,73.26666667,41,26.28082638,41,NaN,-2,,,,,38.40361458,41,48.54644444,41,56.71751042,41,42.40120486,41,128.6731806,41,,,-1.452586806,51,135.656875,41,96.29472917,41,83.54242711,41,63.61986411,41,159.4928958,41,44.06346181,41,34.52399306,41,30.5025,41,78.6371875,41,97.25651042,41,71.8534375,41,71.83924815,31,,,,
9/13/2014 0:00,7.867506943,41,26.14024643,41,101.0307295,41,44.29830903,41,30.66111794,41,37.48549657,41,73.53149494,2,42.56322578,41,46.69134392,41,60.33676363,41,96.19125694,41,63.61946066,41,44.26408703,41,139.205903,31,0.928697917,41,50.40684066,41,97.41857955,41,104.3900383,41,,,27.42466638,41,73.22416667,41,26.28230164,41,NaN,-2,,,,,38.16976042,41,48.5329375,41,56.71730208,41,42.45302778,41,128.6217917,41,,,-1.49546875,51,135.6253472,41,96.19125694,41,83.53909378,41,63.61946066,41,159.5095799,41,44.28695139,41,34.38213542,41,30.40727431,41,78.62515625,41,97.25994792,41,71.82885417,41,71.80562694,31,,,,
